M+3H,M/3 + 1.007276,3+,0.33,1.007276,285.450906,291.099391,M/3 + 1.007276
M+2H+Na,M/3 + 8.334590,3+,0.33,8.33459,292.77822,283.772077,M/3 + 8.334590
M+H+2Na,M/3 + 15.7661904,3+,0.33,15.76619,300.20982,276.340476,M/3 + 15.7661904
M+3Na,M/3 + 22.989218,3+,0.33,22.989218,307.432848,269.117449,M/3 + 22.989218
M+2H,M/2 + 1.007276,2+,0.5,1.007276,427.672721,437.152724,M/2 + 1.007276
M+H+NH4,M/2 + 9.520550,2+,0.5,9.52055,436.185995,428.63945,M/2 + 9.520550
M+H+Na,M/2 + 11.998247,2+,0.5,11.998247,438.663692,426.161753,M/2 + 11.998247
M+H+K,M/2 + 19.985217,2+,0.5,19.985217,446.650662,418.174783,M/2 + 19.985217
M+ACN+2H,M/2 + 21.520550,2+,0.5,21.52055,448.185995,416.63945,M/2 + 21.520550
M+2Na,M/2 + 22.989218,2+,0.5,22.989218,449.654663,415.170782,M/2 + 22.989218
M+2ACN+2H,M/2 + 42.033823,2+,0.5,42.033823,468.699268,396.126177,M/2 + 42.033823
M+3ACN+2H,M/2 + 62.547097,2+,0.5,62.547097,489.212542,375.612903,M/2 + 62.547097
M+H,M + 1.007276,1+,1,1.007276,854.338166,875.312724,M + 1.007276
M+NH4,M + 18.033823,1+,1,18.033823,871.364713,858.286177,M + 18.033823
M+Na,M + 22.989218,1+,1,22.989218,876.320108,853.330782,M + 22.989218
M+CH3OH+H,M + 33.033489,1+,1,33.033489,886.364379,843.286511,M + 33.033489
M+K,M + 38.963158,1+,1,38.963158,892.294048,837.356842,M + 38.963158
M+ACN+H,M + 42.033823,1+,1,42.033823,895.364713,834.286177,M + 42.033823
M+2Na-H,M + 44.971160,1+,1,44.97116,898.30205,831.34884,M + 44.971160
M+IsoProp+H,M + 61.06534,1+,1,61.06534,914.39623,815.25466,M + 61.06534
M+ACN+Na,M + 64.015765,1+,1,64.015765,917.346655,812.304235,M + 64.015765
M+2K-H,M + 76.919040,1+,1,76.91904,930.24993,799.40096,M + 76.919040
M+DMSO+H,M + 79.02122,1+,1,79.02122,932.35211,797.29878,M + 79.02122
M+2ACN+H,M + 83.060370,1+,1,83.06037,936.39126,793.25963,M + 83.060370
M+IsoProp+Na+H,M + 84.05511,1+,1,84.05511,937.386,792.26489,M + 84.05511
2M+H,2*M + 1.007276,1+,2,1.007276,1707.669056,1751.632724,2*M + 1.007276
2M+NH4,2*M + 18.033823,1+,2,18.033823,1724.695603,1734.606177,2*M + 18.033823
2M+Na,2*M + 22.989218,1+,2,22.989218,1729.650998,1729.650782,2*M + 22.989218
2M+K,2*M + 38.963158,1+,2,38.963158,1745.624938,1713.676842,2*M + 38.963158
2M+ACN+H,2*M + 42.033823,1+,2,42.033823,1748.695603,1710.606177,2*M + 42.033823
2M+ACN+Na,2*M + 64.015765,1+,2,64.015765,1770.677545,1688.624235,2*M + 64.015765
M-3H,M/3 - 1.007276,3-,0.33,-1.007276,283.436354,293.113943,M/3 - 1.007276
M-2H,M/2 - 1.007276,2-,0.5,-1.007276,425.658169,439.167276,M/2 - 1.007276
M-H2O-H,M- 19.01839,1-,1,-19.01839,834.3125,895.33839,M- 19.01839
M-H,M - 1.007276,1-,1,-1.007276,852.323614,877.327276,M - 1.007276
M+Na-2H,M + 20.974666,1-,1,20.974666,874.305556,855.345334,M + 20.974666
M+Cl,M + 34.969402,1-,1,34.969402,888.300292,841.350598,M + 34.969402
M+K-2H,M + 36.948606,1-,1,36.948606,890.279496,839.371394,M + 36.948606
M+FA-H,M + 44.998201,1-,1,44.998201,898.329091,831.321799,M + 44.998201
M+Hac-H,M + 59.013851,1-,1,59.013851,912.344741,817.306149,M + 59.013851
M+Br,M + 78.918885,1-,1,78.918885,932.249775,797.401115,M + 78.918885
M+TFA-H,M + 112.985586,1-,1,112.985586,966.316476,763.334414,M + 112.985586
M+C2HF3O2-H ,M + 112.985586,1-,1,112.985586,966.316476,763.334414,M + 112.985586
2M-H,2*M - 1.007276,1-,2,-1.007276,1705.654504,1753.647276,2*M - 1.007276
2M+FA-H,2*M + 44.998201,1-,2,44.998201,1751.659981,1707.641799,2*M + 44.998201
2M+Hac-H,2*M + 59.013851,1-,2,59.013851,1765.675631,1693.626149,2*M + 59.013851
3M-H,3*M - 1.007276,1-,3,1.007276,2560.999946,2627.952724,3*M - 1.007276
M+NH4,M/2 +9.0169115,2+,1,18.033823,871.364713,858.286177,M/2 +9.0169115
M-C6H10O4,M-146.0579,1-,,,,,M-146.0579 
M-C6H10O5,M-162.0528,1-,,,,,M-162.0528 
M-C6H8O6,M-176.0321,1-,,,,,M-176.0321 
M+Li,M+7.016003,1+,,,,,M+7.016003 
M+H-2H2O,M-39.30518,1+,,,,,M-39.30518
2M+3H2O+2H,2*M+62.48515,1+,,,,,2*M+62.48515
M+NH4,M+18.03437,1+,,,,,M+18.03437
M+HCOOH-H,M+44.99766,1-,,,,,M+44.99766
M,M,1+,,,,,M
M,M,1-,,,,,M
M+FA-H,M+44.99765,1-,,,,,M+44.99765
2M-2H+H,2*M-1.00783,1+,,,,,2*M-1.00783
M-H,M/2 - 0.503638,2-,,,,,M/2 - 0.503638
M-C8H18O2+H,M-147.1385,1+,,,,,M-147.1385
M-CO2-H,M-42.982,1-,,,,,M-42.982
2M+Na-2H,2*M+20.97357,1-,,,,,2*M+20.97357
3M-3H,3*M-3.023475,1+,,,,,3*M-3.023475
2M-3H,2*M-3.023475,1-,,,,,2*M-3.023475
2M+H,2*M+1.007825035,1+,,,,,2*M+1.007825035
2M-H2O+Na,2*M+4.978657,1+,,,,,2*M+4.978657
3M-2H2O+Na,3*M-13.03191,1+,,,,,3*M-13.03191
M-CH4S+H,M-(49.00964805)+1.007825,1+,,,,,M-(49.00964805)+1.007825
M-C7H12O6+H,M-(192.063385)+1.0078250319,1+,,,,,M-(192.063385)+1.0078250319
M-C3H6O+H,M-(59.048141557)+1.007825,1+,,,,,M-(59.048141557)+1.007825
M+H-H2O,M-17.00274,1+,,,,,M-17.00274
M+ACN+H,M+42,1+,,,,,M+42
M+ACN+Na,M+64,1+,,,,,M+64
M+2ACN+H,M+83,1+,,,,,M+83
M+NH4,M+18,1+,,,,,M+18
M+Na,M+23,1+,,,,,M+23
M-H2O+H,M-(18.010564683)+1.0078250319,1+,,,,,M-(18.010564683)+1.0078250319
M-2H2O+H,M-(36.02113)+1.0078250319,1+,,,,,M-(36.02113)+1.0078250319
M-CH2O2+H,M-(48.00872129)+1.0078250319,1+,,,,,M-(48.00872129)+1.0078250319
M-C6H10O5+H,M-(162.05282342)+1.0078250319,1+,,,,,M-(162.05282342)+1.0078250319
M-C4H8+H,M-(56.062600255)+1.0078250319,1+,,,,,M-(56.062600255)+1.0078250319
M-CO+H,M-(27.994915)+1.0078250319,1+,,,,,M-(27.994915)+1.0078250319
M-C6H10O5-H,M-(162.05282342)-1.0078250319,1-,,,,,M-(48.00872129)-1.0078250319
M+2Na-H,M+(2*(22.989771))-1.0078250319,1+,,,,,M+(2*(22.989771))-1.0078250319
M-C3H6+H,M-(42.046951)+1.0078250319,1+,,,,,M-(42.046951)+1.0078250319
M-CH4O+H,M-(33.029569582)+1.0078250319,1+,,,,,M-(33.029569582)+1.0078250319
